,MAE,RMSE,NSE,alpha,beta,HFV,HFV10,LFV,FDC,model
92-51276,0.0252350569423012,0.064231798735904,0.7348766496958087,1.012189164512034,0.8161500610209013,1.27266725189101,0.9599090525197812,-3.891034899925085e-11,1.6619963653769958e-10,p3t1
92-51400,9273.162888897356,12028.632074879308,-2121560515.8816104,29337.86112457438,-57164.08447368262,0.0254810031332791,-0.079645093022755,-36283598.3876076,-25620324.26204464,p3t2
92-51541,0.1375074857394045,0.1822293554904915,0.7398768436593228,0.7739387118902904,0.5110475537209228,0.6501417803910206,0.7286284486514173,8.026590160006828e-07,0.0090985304071985,p3t1
92-51542,0.1594259491246546,0.1918026323664682,0.6995016777254308,0.8806661487436417,0.5159943901893836,0.7104140733886752,0.8021018420884475,2.971647157272445e-05,0.0304636164071215,p3t2
92-51751,0.3557521605860019,0.52653295553507,-4.612066637621566,0.7902949776221967,-0.4040211953742464,3.540916059903083e-07,8.910630689943853e-08,-4.693705132185545,-0.0004172001513624,p3t1
92-51807,0.0347085224254603,0.0596761712145856,0.9027742426422444,0.8719943296437307,0.7357213583000882,0.7640267374290752,0.9213073212999228,-1.4086625680930864e-12,1.5947815429103595e-05,p3t2
92-51809,0.4165406732963798,0.5114802472676647,0.5823938943302678,1.0134750494714886,0.6696317803820223,0.8435890483511377,0.872764713594245,0.0052563839944471,0.2983584233057252,p3t2
92-52261,0.0461976147592856,0.1157348166604748,-0.0424371484854133,0.3081575797844911,0.2104941306961314,0.290979158658212,0.2802381828285799,-18.65461511671769,-1.8604561834068247e-16,p3t2
92-52578,0.0125247008962938,0.0228737599491426,0.9675157388718062,0.9415233321821356,0.8404106335315322,0.956967838255404,0.931460407911352,-1.1994830939031744e-11,6.9402846816272026e-06,p3t1
92-52610,0.1116129927025302,0.244818334396329,-1.8773485381445216,0.5742603772387854,-0.5259736351920115,4.746627631538929e-14,4.0066198203855097e-14,-450.1562296205426,-1.0268014015977334e-05,p3t1
92-52631,0.0884669517464048,0.3359625512515269,0.1368644635891871,0.3459096572342998,0.3520872339060973,0.3157029984021517,0.3918497674378052,-1.7047293256619242e-12,-6.975279201788156e-16,p3t1
92-52788,0.0103642094478604,0.0212058209170097,0.9790858977616674,0.9428608214320336,0.9343064825252008,0.9347609690453488,0.932715723232759,1.11172774219996e-07,0.020797439243201,p3t2
92-52789,0.0188692991177828,0.0366848512364427,0.9388710719050491,0.9336960299753166,0.8024359923808538,1.031257101868939,0.9164798801467686,-1.249764350505674e-11,0.0001702154682015,p3t2
92-53174,0.0126681546860255,0.0247297581655905,0.9697106008428644,1.04436101253513,0.9241292968389988,1.1035988636132636,1.0319180377430324,-7.092167951761316e-10,1.2714739209363151e-09,p3t2
92-53575,0.0136071044122677,0.0252976480849264,0.9434213703757331,0.9860902490566448,0.7954138905257161,1.024824724667724,0.9738899557661396,-0.0006878254229287,1.0059897433029976e-17,p3t1
92-55166,0.0148139362274718,0.0341142517245245,0.8268099937004844,0.8054181117534112,0.6254594496307256,0.900155355357464,0.7559757794537364,-0.0020921651974933,-3.002227366191145e-16,p3t2
92-55317,0.1222343352293069,0.1476472152886482,-0.1609657158789399,0.4557925055744886,0.2342486650640928,0.4596490668796576,0.4027384440747706,4.575565366965947e-05,0.0123732670182494,p3t2
92-55626,0.0224580213467785,0.047149886467975,0.7790900823496071,0.8561063656238644,0.5832257380198819,1.022428258480654,0.7835140772204104,-1.5591021910009018e-11,-1.1842748465258815e-14,p3t1
92-55629,0.0250484742394555,0.0548988909097415,0.8678181359067071,0.9023609985156574,0.6929671034434075,0.9931181315491904,0.8506581451235815,-3.96077442521148e-12,-3.1857292060731068e-15,p3t1
92-55950,1015.1981744697048,1448.5601798391765,-174252424.6815885,9416.931669312407,-7542.020323682416,0.1287628965183868,0.0767561895201969,-46451.92109579544,-9687.587145033838,p3t2
92-56388,0.5792241236928216,2.1784637042482675,-0.076073719397788,0.0,0.0,0.0,0.0,0.0,0.0,p3t1
92-56411,0.2884223809198427,0.5738489154695601,0.1040782551914687,0.2163752925894022,0.1900596718403046,0.279746934478278,0.2533891961614812,1.48973886342086e-07,0.0323543533400721,p3t2
92-56420,0.1645998577992044,0.2236376844945697,-2.0259560698136267,0.2093263090736372,-0.1813243246278207,-0.0018490851285269,-0.0034280611274018,-3.3695372469987337,-0.1150675917177084,p3t1
92-56421,2.5148032360094263,2.581641167995832,-302.8415715237212,3.8295884233444712,-14.590831993756764,-0.0733020657998281,-1.834139739408704,-108.14135649705202,-18.509125208826674,p3t2
92-56476,0.0381093256562873,0.0429596576523046,0.8566872561729456,1.0387400459360312,0.6384199938084131,1.0013494960295348,0.9272804655341664,2.5249102894270892e-08,0.0020119421855108,p3t2
92-56507,0.0556762532723576,0.0634803746198521,0.7330177202798591,1.1460898018498265,0.6120240723025991,0.955067840972275,0.989985575853695,-1.3659375953992146e-13,6.933967022958286e-10,p3t1
